Amersham Biosciences
   Ettan IPGphor  
Version A1  02/05/03 
Serial No.  20099890

Protocol:   7 11NL        
No. of strips: 2
IEF Params: 50uA/Strip at 20 C
S1  Step-n-hold  500V    1:00Hrs
S2    Gradient  1000V    6:30Hrs
S3    Gradient  8000V    3:00Hrs
S4  Step-n-hold 8000V   10:20Hrs
19:43 -> 8000V at 18uA 92674Vhrs
19:45 -> 8000V at 18uA 92854Vhrs
19:48 -> 8000V at 19uA 93340Vhrs
19:50 -> 8000V at 19uA 93523Vhrs
19:53 -> 8000V at 19uA 94006Vhrs
19:55 -> 8000V at 19uA 94191Vhrs
19:58 -> 8000V at 19uA 94672Vhrs
20:00 -> 8000V at 19uA 94860Vhrs
20:03 -> 8000V at 19uA 95338Vhrs
20:05 -> 8000V at 19uA 95528Vhrs
20:08 -> 8000V at 19uA 96004Vhrs
20:10 -> 8000V at 19uA 96196Vhrs
20:13 -> 8000V at 19uA 96670Vhrs
20:15 -> 8000V at 20uA 96864Vhrs
20:18 -> 8000V at 20uA 97335Vhrs
20:20 -> 8000V at 20uA 97533Vhrs
20:23 -> 8000V at 20uA 98001Vhrs
20:25 -> 8000V at 20uA 98202Vhrs
20:28 -> 8000V at 20uA 98667Vhrs
20:30 -> 8000V at 20uA 98870Vhrs
20:33 -> 8000V at 20uA 99334Vhrs
20:35 -> 8000V at 20uA 99538Vhrs
20:38 -> 8000V at 21uA 99999Vhrs
20:39 -> Paused at step  4
20:39 ->    0V at 21uA 100177Vhrs
20:39 -> *** End of run ***





20:39 ->    0V at 21uA 100177Vhrs
20:39 ->    0V at 21uA 100177Vhrs
20:39 ->    0V at 21uA 100177Vhrs
20:39 ->    0V at 21uA 100177Vhrs
20:39 ->    0V at 21uA 100177Vhrs
20:39 ->    0V at 21uA 100177Vhrs
20:39 ->    0V at 21uA 100177Vhrs
20:39 ->    0V at 21uA 100177Vhrs
20:39 ->    0V at 21uA 100177Vhrs
20:39 ->    0V at 21uA 100177Vhrs
20:39 ->    0V at 21uA 100177Vhrs

Amersham
